# logT  f_HII  f_OIII
4.054694289691686215e+00 1.414053539748789251e-02 1.025576561443994012e-14
4.065473813490342536e+00 2.036593407993829430e-02 3.665584082422686140e-14
4.076253337288999745e+00 2.897609298251189666e-02 1.239717034878047786e-13
4.087032861087656066e+00 4.083848296241587156e-02 4.158666990697437040e-13
4.097812384886312387e+00 5.682037514251665755e-02 1.340480175185821661e-12
4.108591908684969596e+00 7.790736336717818400e-02 4.093159239606036437e-12
4.119371432483625917e+00 1.052995965888131880e-01 1.211495626690336207e-11
4.130150956282282237e+00 1.400192723504521952e-01 3.474046502571454880e-11
4.140930480080939446e+00 1.826421716741006562e-01 9.426499790500140450e-11
4.151710003879595767e+00 2.334481593880674277e-01 2.440476826301541453e-10
4.162489527678252088e+00 2.920348623262376542e-01 6.145383365827303374e-10
4.173269051476909297e+00 3.568214506500376748e-01 1.467845905138134520e-09
4.184048575275565618e+00 4.257381869256955942e-01 3.334981036118587817e-09
4.194828099074221939e+00 4.960835122578234335e-01 7.405792903728006672e-09
4.205607622872879148e+00 5.650606401812788837e-01 1.576059130707598261e-08
4.216387146671535469e+00 6.302996627012851238e-01 3.224319185168516084e-08
4.227166670470191789e+00 6.897579106626342549e-01 6.445540560436154540e-08
4.237946194268848110e+00 7.424377809549753682e-01 1.254526451567588402e-07
4.248725718067505319e+00 7.880788527363348228e-01 2.370953671873468542e-07
4.259505241866161640e+00 8.267102996568281847e-01 4.388072832470640927e-07
4.270284765664817961e+00 8.588391707155389465e-01 7.991301700494825705e-07
4.281064289463475170e+00 8.853796092307395504e-01 1.422474389801483000e-06
4.291843813262131491e+00 9.070767386030401669e-01 2.482430084641218356e-06
4.302623337060787811e+00 9.245840758358871980e-01 4.289314288444421997e-06
4.313402860859445020e+00 9.387807621302645122e-01 7.271010265738427017e-06
4.324182384658101341e+00 9.502586685994127702e-01 1.210380896310052128e-05
4.334961908456757662e+00 9.594532781916110808e-01 1.996006010292844808e-05
4.345741432255413983e+00 9.668772631116514527e-01 3.240641759157937926e-05
4.356520956054071192e+00 9.728824929574786395e-01 5.175524621705633431e-05
4.367300479852727513e+00 9.777195043682253006e-01 8.170709837711353910e-05
4.378080003651383834e+00 9.816321226162413316e-01 1.273923032951589150e-04
4.388859527450041043e+00 9.848170546843897366e-01 1.955825935646370831e-04
4.399639051248697363e+00 9.874078506562219415e-01 2.963372862837876701e-04
4.410418575047353684e+00 9.895144659534121923e-01 4.442791027277523093e-04
4.421198098846010893e+00 9.912442280127425898e-01 6.563738015141454447e-04
4.431977622644667214e+00 9.926675332756785819e-01 9.560394163312357614e-04
4.442757146443323535e+00 9.938325155478441308e-01 1.379581497726703769e-03
4.453536670241980744e+00 9.947981543467139254e-01 1.963180297840264304e-03
4.464316194040637065e+00 9.956004469831174486e-01 2.756091850070732565e-03
4.475095717839293386e+00 9.962648249250728449e-01 3.829071783920529048e-03
4.485875241637950595e+00 9.968193424619945509e-01 5.255772071544913791e-03
4.496654765436606915e+00 9.972844114977271746e-01 7.123442506094642551e-03
4.507434289235263236e+00 9.976740323700074020e-01 9.549987848931667384e-03
4.518213813033920445e+00 9.980013932498592588e-01 1.266882407460246003e-02
4.528993336832576766e+00 9.982784358290675009e-01 1.661124250413375733e-02
4.539772860631233087e+00 9.985131094328855150e-01 2.154528451938283323e-02
4.550552384429889408e+00 9.987115489972829829e-01 2.768422243005169703e-02
4.561331908228546617e+00 9.988809261660567262e-01 3.519045848866692028e-02
4.572111432027202937e+00 9.990258063458632432e-01 4.426698308911714702e-02
4.582890955825859258e+00 9.991492368435537230e-01 5.518920167374063296e-02
